Ambulance Service Coverage Area,Reporting Year,Population Estimate,Land Area (km2),Population Density (Per km2),Average Response Time
Kenora,2015,66856,406833,0.2,10 min 50 sec 
Lambton (Rural),2015,,,,No data available
Lambton (Urban),2015,129870,3002,43.3,6 min 0 sec 
Lanark,2015,67962,3034,22.4,7 min 44 sec 
Leeds and Grenville,2015,101183,3384,29.9,9 min 1 sec 
Lennox and Addington,2015,43882,2841,15.4,9 min 33 sec 
Manitoulin-Sudbury,2015,34241,43313,0.8,11 min 42 sec 
Middlesex,2015,468099,3295,142.1,5 min 45 sec 
Muskoka,2015,62288,3938,15.8,8 min 27 sec 
Naotkamegwanning First Nations (Whitefish Bay),2015,696,19,36.6,No data available
Niagara,2015,450264,1854,242.9,6 min 33 sec 
Nipissing,2015,87557,17104,5.1,6 min 52 sec 
Norfolk,2015,65032,1608,40.4,6 min 21 sec 
Northumberland,2015,86262,1905,45.3,8 min 1 sec 
Oneida Nation of the Thames,2015,1342,22,61,6 min 13 sec 
Ottawa,2015,956929,2790,343,6 min 8 sec 
Oxford,2015,111723,2040,54.8,6 min 22 sec 
Parry Sound,2015,42759,9323,4.6,11 min 17 sec 
Peel,2015,1438165,1247,1153.3,6 min 53 sec 
Perth,2015,78432,2218,35.4,6 min 34 sec 
Peterborough,2015,140532,3848,36.5,7 min 27 sec 
Prescott and Russell,2015,89778,2004,44.8,7 min 59 sec 
Prince Edward,2015,25240,1050,24,10 min 18 sec 
Rainy River ,2015,19873,15485,1.3,10 min 20 sec 
Renfrew,2015,104832,7441,14.1,8 min 24 sec 
Sault Ste. Marie,2015,75204,223,337.2,6 min 11 sec 
Simcoe,2015,484471,4796,101,7 min 52 sec
Six Nations of the Grand River,2015,7480,188,39.8,7 min 42 sec 
Sudbury,2015,165219,3238,51,5 min 49 sec 
City of Thunder Bay,2015,148558,103720,1.4,No data available
District of Thunder Bay,2015,,,,See Thunder Bay (City)
Timiskaming (Urban),2015,32948,13300,2.5,8 min 27 sec 
Toronto,2015,2827234,630,4487.7,7 min 20 sec 
Waterloo,2015,542259,1369,396.1,6 min 50 sec 
Weeneebayko Area Health Authority,2015,17500,15000,1.2,5 min 39 sec
York,2015,1137899,1762,645.8,6 min 54 sec 
Algoma,2014,,,,No data available
Beausoleil First Nation,2014,,,,No data available
Brant,2014,,,,No data available
Bruce,2014,,,,No data available
Chatham-Kent,2014,,,,No data available
Chippewas of Rama First Nation,2014,,,,No data available
Cochrane,2014,,,,No data available
Cornwall,2014,,,,No data available
Dufferin,2014,,,,No data available
Durham,2014,,,,No data available
Elgin,2014,,,,No data available
Essex,2014,,,,No data available
Frontenac,2014,,,,No data available
Grey,2014,,,,No data available
Wellington,2014,,,,No data available
Haldimand,2014,,,,No data available
Haliburton,2014,,,,No data available
Halton,2014,,,,No data available
Hamilton,2014,,,,No data available
Hastings,2014,,,,No data available
Huron,2014,,,,No data available
Kawartha Lakes,2014,,,,No data available
Kenora,2014,,,,No data available
Lambton (Rural),2014,,,,No data available
Lambton (Urban),2014,,,,No data available
Lanark,2014,,,,No data available
Leeds and Grenville,2014,,,,No data available
Lennox and Addington,2014,,,,No data available
Manitoulin-Sudbury,2014,,,,No data available
Middlesex,2014,,,,No data available
Muskoka,2014,,,,No data available
Naotkamegwanning First Nations (Whitefish Bay),2014,,,,No data available
Niagara,2014,,,,No data available
Nipissing,2014,,,,No data available
Norfolk,2014,,,,No data available
Northumberland,2014,,,,No data available
Oneida Nation of the Thames,2014,,,,No data available
Ottawa,2014,,,,No data available
Oxford,2014,,,,No data available
Parry Sound,2014,,,,No data available
Peel,2014,,,,No data available
Perth,2014,,,,No data available
Peterborough,2014,,,,No data available
Prescott and Russell,2014,,,,No data available
Prince Edward,2014,,,,No data available
Rainy River ,2014,,,,No data available
Renfrew,2014,,,,No data available
Sault Ste. Marie,2014,,,,No data available
Simcoe,2014,,,,No data available
Six Nations of the Grand River,2014,,,,No data available
Sudbury,2014,,,,No data available
City of Thunder Bay,2014,,,,No data available
District of Thunder Bay,2014,,,,No data available
Timiskaming (Rural),2014,,,,No data available
Timiskaming (Urban),2014,,,,No data available
Toronto,2014,,,,No data available
Waterloo,2014,,,,No data available
Weeneebayko Area Health Authority,2014,,,,No data available
York,2014,,,,No data available
Algoma,2013,,,,No data available
Beausoleil First Nation,2013,,,,No data available
Brant,2013,,,,No data available
Bruce,2013,,,,No data available
Chatham-Kent,2013,,,,No data available
Chippewas of Rama First Nation,2013,,,,No data available
Cochrane,2013,,,,No data available
Cornwall,2013,,,,No data available
Dufferin,2013,,,,No data available
Durham,2013,,,,No data available
Elgin,2013,,,,No data available
Essex,2013,,,,No data available
Frontenac,2013,,,,No data available
Grey,2013,,,,No data available
Wellington,2013,,,,No data available
Haldimand,2013,,,,No data available
Haliburton,2013,,,,No data available
Halton,2013,,,,No data available
Hamilton,2013,,,,No data available
Hastings,2013,,,,No data available
Huron,2013,,,,No data available
Kawartha Lakes,2013,,,,No data available
Kenora,2013,,,,No data available
Lambton (Rural),2013,,,,No data available
Lambton (Urban),2013,,,,No data available
Lanark,2013,,,,No data available
Leeds and Grenville,2013,,,,No data available
Lennox and Addington,2013,,,,No data available
Manitoulin-Sudbury,2013,,,,No data available
Middlesex,2013,,,,No data available
Muskoka,2013,,,,No data available
Naotkamegwanning First Nations (Whitefish Bay),2013,,,,No data available
Niagara,2013,,,,No data available
Nipissing,2013,,,,No data available
Norfolk,2013,,,,No data available
Northumberland,2013,,,,No data available
Oneida Nation of the Thames,2013,,,,No data available
Ottawa,2013,,,,No data available
Oxford,2013,,,,No data available
Parry Sound,2013,,,,No data available
Peel,2013,,,,No data available
Perth,2013,,,,No data available
Peterborough,2013,,,,No data available
Prescott and Russell,2013,,,,No data available
Prince Edward,2013,,,,No data available
Rainy River ,2013,,,,No data available
Renfrew,2013,,,,No data available
Sault Ste. Marie,2013,,,,No data available
Simcoe,2013,,,,No data available
Six Nations of the Grand River,2013,,,,No data available
Sudbury,2013,,,,No data available
City of Thunder Bay,2013,,,,No data available
District of Thunder Bay,2013,,,,No data available
Timiskaming (Rural),2013,,,,No data available
Timiskaming (Urban),2013,,,,No data available
Toronto,2013,,,,No data available
Waterloo,2013,,,,No data available
Weeneebayko Area Health Authority,2013,,,,No data available
York,2013,,,,No data available
