Ambulance Service Coverage Area,Reporting Year,Population Estimate,Land Area (km2),Population Density (Per km2),Average Response Time
Peel,2022,1571322,1247,1260.2,8 min 20 sec
Perth,2022,84062,2218,37.9,7 min 41 sec
Peterborough,2022,147731,3848,38.4,8 min 42 sec
Prescott and Russell,2022,96753,2004,48.3,11 min 14 sec
Prince Edward,2022,98570,1050,93.8,13 min 33 sec
Rainy River ,2022,20865,15485,1.3,15 min 9 sec
Renfrew,2022,108102,7441,14.5,10 min 53 sec
Sault Ste. Marie,2022,74718,223,334.7,6 min 54 sec
Simcoe,2022,547137,4796,114.1,9 min 8 sec
Six Nations of the Grand River,2022,7145,188,38,11 min 38 sec
Sudbury,2022,169199,3238,52.3,7 min 43 sec
District of Thunder Bay,2022,149645,103720,1.4,10 min 23 sec
Timiskaming (Urban),2022,33328,13300,2.5,9 min 42 sec
Toronto,2022,2974293,630,4719.5,No data available
Waterloo,2022,611493,1369,446.7,7 min 22 sec
Weeneebayko Area Health Authority,2022,17500,15000,1.2,6 min 25 sec
York,2022,1209914,1762,686.6,8 min 50 sec
Algoma,2021,42874,48587,0.9,11 min 34 sec
Beausoleil First Nation,2021,730,52,12.8,11 min 24 sec
Brant,2021,146389,936,153.9,7 min 57 sec
Bruce,2021,74143,4093,17.9,11 min 20 sec
Chatham-Kent,2021,106620,2471,42.9,7 min 28 sec
Chippewas of Rama First Nation,2021,865,11,80.5,7 min 2 sec
Cochrane,2021,76427,140566,0.5,7 min 8 sec
Cornwall,2021,119106,3309,35.7,10 min 29 sec
Dufferin,2021,68347,1486,45.6,8 min 2 sec
Durham,2021,711426,2524,276.3,8 min 15 sec
Elgin,2021,96431,1881,50.5,7 min 55 sec
Essex,2021,430945,1851,231.6,7 min 57 sec
Frontenac,2021,163829,3788,43.3,9 min 10 sec
Grey,2021,102007,4513,22.2,8 min 28 sec
Wellington,2021,243647,2660,90.6,7 min 46 sec
Haldimand,2021,50129,1257,40,9 min 49 sec
Haliburton,2021,19434,4072,4.8,13 min 12 sec
Halton,2021,610581,964,618.6,8 min 1 sec
Hamilton,2021,581722,1117,514,8 min 20 sec
Hastings,2021,146989,6103,23.8,10 min 18 sec
Huron,2021,62983,3400,18.4,9 min 46 sec
Kawartha Lakes,2021,81042,3083,26.1,10 min 13 sec
Kenora,2021,66582,406834,0.2,14 min 34 sec
Lambton (Urban),2021,132972,3002,44.1,7 min 29 sec
Lanark,2021,74425,3034,24,9 min 48 sec
Leeds and Grenville,2021,105521,3384,30.9,10 min 8 sec
Lennox and Addington,2021,45401,2841,15.7,11 min 0 sec
Manitoulin-Sudbury,2021,36210,43313,0.8,14 min 17 sec
