Recipient,Funding $,Description
Corporation of the Township of Malahide,49031,Purchase flood mitigation equipment and radio equipment to enhance operational effectiveness during an emergency. 
Corporation of the Township of McMurrich/Monteith,49518,"Enhance the emergency operations centre by purchasing tablets, electronics and satellite phones, and upgrading the generator. Sandbags will also be purchased to prepare for spring flooding. "
Corporation of the Township of Nairn & Hyman,12100,Purchase a backup generator and related equipment to ensure the continuity of services during severe thunderstorms. 
Corporation of the Township of Opasatika,50000,Purchase and install a generator to be used during power outages. 
Corporation of the Township of Otonabee-South Monaghan,35969,Purchase a drone and related equipment to help acquire real-time data regarding potential flooding in the township.
Corporation of the Township of Red Rock,50000,"Purchase a generator, automatic transfer switch and radio equipment to allow the fire department to efficiently respond to emergencies."
Corporation of the Township of Rideau Lakes,28724,"Purchase a standby generator and a chainsaw for the fire hall, which serves as the emergency operations centre. "
Corporation of the Township of Sables-Spanish Rivers,50000,Purchase two-way radios with mount kits to improve communications during wildland fires.
Corporation of the Township of Schreiber,16540,Purchase sandbags and chainsaws to assist in flood mitigation and cleanup.
Corporation of the Township of Selwyn,50000,"Purchase a backup generator to provide continuous power to the Public Works Garage, which serves as the central hub for fleet dispatch."
Corporation of the Township of Severn,20289,Purchase chainsaws and spare blades to assist fire and rescue services.
Corporation of the Township of South Algonquin,32780,Create an emergency centre equipped with a generator and heating and cooling pumps. 
Corporation of the Township of St. Clair,50000,"Purchase radio equipment, a long-range tactical camera and other equipment to enhance emergency communication."
Corporation of the Township of St. Joseph,48500,"Purchase and install a generator, update the emergency management plan with a certified community emergency management coordinator, and conduct training and exercises that align with the revised plan."
Corporation of the Township of Stirling-Rawdon,43750,"Purchase trailer-mounted emergency signage, a hydraulic lift, solar panels and other equipment to help mitigate the effects of severe thunderstorms."
Corporation of the Township of Stone Mills,50000,Help purchase and install a generator for their reception and evacuation centre. 
Corporation of the Township of Thessalon,50000,"Purchase and install a generator, central air conditioning, air purifiers, cots, signage and other supplies for the Thessalon Marina, which acts as an emergency shelter and cooling centre during extreme heat emergencies. "
Corporation of the Township of Whitewater Region,48775,Purchase a mobile generator for their emergency operations centre to ensure continuity of operations during emergencies.
Corporation of the Township of Zorra,46950,"Purchase a trailer to be used as an emergency operations centre, with cots, blankets and other supplies. This project is a partnership with the City of Woodstock. "
Curve Lake First Nation,48200,Purchase emergency kits and provide emergency response training to members of the community.
Eabametoong First Nation,49156,"Receive training to help the community develop a Hazard Identification and Risk Assessment (HIRA), coordinating across other First Nations communities to incorporate traditional and historical knowledge into their plans."
Gct #3 Representative Services,49502,"Purchase radio systems, conduct emergency evacuation procedure training and community engagement to better prepare for emergencies. "
Hiawatha First Nation,34125,Purchase generators and emergency kits. Create public education materials and conduct emergency management training and exercises to better prepare for emergencies.
Incorporated Village of Hilton Beach,41605,"Purchase supplies for an emergency response centre including cots, food kits, generators, two-way radios and a chainsaw. Training will be delivered to ensure the safe operation of new equipment."
Kashechewan First Nations Band Council,49840,"Purchase communications technology such as speakers, radios, internet connectivity system and mobile antenna, and deliver training to ensure that staff and the community can better communicate during emergencies."
Local Services Board of Gogama,48773,Purchase a breathing air containment filling station close to the operations centre to help respond to fire emergencies. 
Local Services Board of King-Lebel,49922,"Purchase drone equipment, emergency signage and firefighting equipment. Training will also be delivered to ensure the safe operation of new equipment."
Local Services Board of Lappe & Area,49086,Purchase communications and rescue equipment including a rapid deployment craft to support air and water rescues.
Local Services Board of Restoule,43069,"Purchase two-way radios and programmable signage, develop an emergency plan and website to relay emergency information."
Local Services Board of Tilden Lake,49222,Purchase self-contained breathing apparatuses (SCBA) to help ensure the safety of wildland firefighters. 
Mckenzie-Clearwater Fire Protection Corporation,49954,"Purchase emergency signage to ensure residents can accurately describe their locations to emergency responders during emergencies, reducing response times and saving lives and property."
Mohawk Council of Akwesasne,50000,Purchase a sandbagging machine to prepare for floods and solar traffic lights to redirect traffic during power outages. 
Mohawks of the Bay of Quinte,50000,Purchase a generator for the emergency operations centre.
Municipal Corporation of the Township of Cockburn Island,22500,"Purchase a gas pump, skid tank, hose and other equipment to train firefighters to better respond to wildland fire emergencies."
"Municipal Corporation of the Township of Killaloe, Hagarty & Richards",32261,"Purchase a sandbagging machine and conveyor belt to help protect streets, safeguard homes and the community during flooding. Training will also be delivered to ensure the safe operation of new equipment."
Municipality of Gillies,50000,"Purchase portable suitcase generators, trash pumps, radios, a weatherproof Sea Can, 72-hour emergency preparedness kits and emergency preparedness educational materials."
Municipality of Lakeshore,50000,Purchase a backup portable generator for their stormwater pumping station.
Municipality of the Township of Chamberlain,49000,Purchase a generator and other emergency response equipment to provide power to the township during emergencies.
Naicatchewenin First Nation,30750,Purchase a portable shelter and heater system to help respond to emergencies.
Nigigoonsiminikaaning First Nation,45200,Purchase a generator to use as backup power for three locations in the community.
North Shore Search and Rescue,23250,Purchase a drone to enhance search and rescue capabilities. Training and licensing will ensure the safe operation of new equipment.
Ojibways of Onigaming,50000,"Purchase chainsaws, generators, air purifiers and other supplies to help increase capacity to respond to emergencies. "
Pass Lake Volunteer Fire Protection Team Inc.,30523,"Purchase a generator, radio equipment and information cards for the community."
Saugeen First Nation #29,50000,Help prepare for extreme winter by installing a backup generator for their local warming shelter.
Sault Search and Rescue Inc.,36156,"Purchase an emergency generator to provide electricity for the Sault Search and Rescue buildings, mobile generators for locations where for vulnerable residents reside, and chainsaws. Training will be delivered to ensure the safe operation of new equipment."
Shawanaga First Nation,46625,Purchase and install two backup generators at Shawanaga First Nation’s Finance Trailer and Main Administration Building to ensure the continuous operation of critical services during power outages. 
Shibogama First Nations Council,50000,"Purchase water pumps, a hose, sprinklers and a trailer to store emergency equipment, helping them fight wildland fires in the area and surrounding communities."
The Reverend Tommy Beardy Memorial Wee Che He Wayo-Gamik Family Treatment Centre,50000,"Purchase drones and digital tools, create promotional materials and deliver training to improve search and rescue capacity in the community."
Town of East Gwillimbury,42638,"Purchase chainsaws, scene lighting, a wastewater pump for flood relief and a drone to assist emergency personnel during emergencies. Training will be delivered to ensure the safe operation of new equipment."
Town of Midland,50000,Purchase technology and signage for their emergency operations centre. Conduct a two-day training and exercise workshop.
Township of Blandford-Blenheim,40600,Purchase and update LED signage to broadcast messages to the community during emergencies.
Township of Dubreuilville,32968,Purchase a two-way radio system and related equipment to ensure reliable communication during emergencies.
Township of Ignace,50000,"Purchase generators, pumps, chainsaws and other equipment to better respond to wildland fires. Training will also be delivered to ensure the safe operation of new equipment."
"Township of Macdonald, Meredith and Aberdeen Additional",26895,Purchase thermal imaging tools and IT equipment to better facilitate the use of a mapping system and access GIS databases. 
Township of Perry,42570,Purchase and install a backup generator to provide power to the community centre shelter during emergencies.
Township of Puslinch,50000,Purchase a replacement generator for their emergency operations centre to strengthen the township's emergency response capacity.
Wabun Tribal Council,43780,"Purchase sandbagging machines and sandbags, and conduct CPR/first aid training. This is a collaboration with six First Nation communities. "
Wasauksing First Nation,50000,"Purchase a pop up tent, chainsaws, laptops, a drone and radios to enhance emergency preparedness when dealing with storms, high winds, snow and ice."
Wawakapewin First Nation,50000,Purchase firefighting equipment and conduct training to improve wildland fire preparedness.
Weenusk First Nation,42900,"Purchase drones, satellite phones and sprinkler systems to improve their response to wildland fires."
Wharncliffe Citizens' Committee,35250,"Purchase and replace supplies for an emergency shelter, train volunteers and educate the public on emergency preparedness."
Whitesand First Nation,50000,"Purchase and install backup generators to power the multi-plex, gas bar and band office during emergencies. "
Windigo First Nations Council,49956,"Purchase sprinkler systems and related storage and transportation systems so that the equipment can be shared across Bearskin Lake, Cat Lake, Koocheching, North Caribou, Sachigo Lake, Slate Falls and White Water when emergencies happen."
Wunnumin Lake First Nation,46700,"Purchase cots, portable generators, chainsaws, two-way radios, a water pump and other supplies. Training will be delivered to ensure the safe operation of new equipment."
